Year,Dato,Console,Company,Sales
2011,anual,Nintendo 3DS,Nintendo,12560000.0
2012,anual,Nintendo 3DS,Nintendo,13480000.0
2013,anual,Nintendo 3DS,Nintendo,14310000.0
2014,anual,Nintendo 3DS,Nintendo,9740000.0
2015,anual,Nintendo 3DS,Nintendo,7330000.0
2016,anual,Nintendo 3DS,Nintendo,7590000.0
2017,anual,Nintendo 3DS,Nintendo,6190000.0
2018,anual,Nintendo 3DS,Nintendo,3500000.0
2008,anual,Nintendo DS,Nintendo,29470000.0
2009,anual,Nintendo DS,Nintendo,27280000.0
2010,anual,Nintendo DS,Nintendo,20550000.0
2011,anual,Nintendo DS,Nintendo,8760000.0
2012,anual,Nintendo DS,Nintendo,3010000.0
2013,anual,Nintendo DS,Nintendo,820000.0
2014,Out_of_use,Nintendo DS,Nintendo,0.0
2017,anual,Nintendo Switch,Nintendo,11850000.0
2018,anual,Nintendo Switch,Nintendo,17050000.0
2008,anual,Nintendo Wii,Nintendo,24090000.0
2009,anual,Nintendo Wii,Nintendo,21050000.0
2010,anual,Nintendo Wii,Nintendo,17260000.0
2011,anual,Nintendo Wii,Nintendo,11490000.0
2012,anual,Nintendo Wii,Nintendo,5080000.0
2013,anual,Nintendo Wii,Nintendo,1950000.0
2014,anual,Nintendo Wii,Nintendo,520000.0
2015,anual,Nintendo Wii,Nintendo,70000.0
2016,Out_of_use,Nintendo Wii,Nintendo,0.0
2012,anual,Nintendo Wii U,Nintendo,2170000.0
2013,anual,Nintendo Wii U,Nintendo,3100000.0
2014,anual,Nintendo Wii U,Nintendo,3640000.0
2015,anual,Nintendo Wii U,Nintendo,3460000.0
2016,anual,Nintendo Wii U,Nintendo,1160000.0
2017,anual,Nintendo Wii U,Nintendo,100000.0
2018,Out_of_use,Nintendo Wii U,Nintendo,0.0
2011,anual,Sony PS Vita,Sony,480000.0
2012,anual,Sony PS Vita,Sony,3690000.0
2013,anual,Sony PS Vita,Sony,3400000.0
2014,anual,Sony PS Vita,Sony,2300000.0
2015,anual,Sony PS Vita,Sony,2680000.0
2016,anual,Sony PS Vita,Sony,2040000.0
2017,anual,Sony PS Vita,Sony,720000.0
2018,anual,Sony PS Vita,Sony,220000.0
2018,Out_of_use,Sony PS Vita,Sony,0.0
2008,anual,Sony PS3,Sony,10460000.0
2009,anual,Sony PS3,Sony,13260000.0
2010,anual,Sony PS3,Sony,13830000.0
2011,anual,Sony PS3,Sony,14420000.0
2012,anual,Sony PS3,Sony,11970000.0
2013,anual,Sony PS3,Sony,8260000.0
2014,anual,Sony PS3,Sony,3560000.0
2015,anual,Sony PS3,Sony,1340000.0
2016,anual,Sony PS3,Sony,520000.0
2017,anual,Sony PS3,Sony,110000.0
2018,Out_of_use,Sony PS3,Sony,0.0
2013,anual,Sony PS4,Sony,4490000.0
2014,anual,Sony PS4,Sony,14590000.0
2015,anual,Sony PS4,Sony,17510000.0
2016,anual,Sony PS4,Sony,17590000.0
2017,anual,Sony PS4,Sony,19640000.0
2018,anual,Sony PS4,Sony,18000000.0
2008,anual,Sony PSP,Sony,14050000.0
2009,anual,Sony PSP,Sony,9920000.0
2010,anual,Sony PSP,Sony,9360000.0
2011,anual,Sony PSP,Sony,7380000.0
2012,anual,Sony PSP,Sony,4220000.0
2013,anual,Sony PSP,Sony,2970000.0
2014,anual,Sony PSP,Sony,390000.0
2015,Out_of_use,Sony PSP,Sony,0.0
2013,anual,Xbox One,Microsoft,3080000.0
2014,anual,Xbox One,Microsoft,7910000.0
2015,anual,Xbox One,Microsoft,8630000.0
2016,anual,Xbox One,Microsoft,8370000.0
2017,anual,Xbox One,Microsoft,8210000.0
2018,anual,Xbox One,Microsoft,6960000.0
2008,anual,Xbox360,Microsoft,11160000.0
2009,anual,Xbox360,Microsoft,10360000.0
2010,anual,Xbox360,Microsoft,13530000.0
2011,anual,Xbox360,Microsoft,13950000.0
2012,anual,Xbox360,Microsoft,10690000.0
2013,anual,Xbox360,Microsoft,6240000.0
2014,anual,Xbox360,Microsoft,2600000.0
2015,anual,Xbox360,Microsoft,930000.0
2016,anual,Xbox360,Microsoft,390000.0
2017,anual,Xbox360,Microsoft,60000.0
2018,Out_of_use,Xbox360,Microsoft,0.0
