Country Name,Country Code,Year,Crecimiento del PIB (% anual),"Desempleo, total (% de la población activa total) (estimación modelado OIT)","INB per cápita, PPA (a $ internacionales actuales)","INB per cápita, método Atlas (US$ a precios actuales)","INB, PPA (a $ internacionales actuales)","INB, método Atlas (US$ a precios actuales)","Inflación, índice de deflación del PIB (% anual)",PIB (US$ a precios actuales),"Población activa, total"
Estados Unidos,USA,2000,4.127484014,3.992000103,36800.0,35960.0,10383900000000.0,10147600000000.0,2.235474409,10252300000000.0,146729576.0
Estados Unidos,USA,2001,0.998340795,4.730999947,37700.0,36710.0,10743700000000.0,10462200000000.0,2.193425342,10581800000000.0,147698388.0
Estados Unidos,USA,2002,1.74169525,5.782999992,38430.0,37310.0,11054300000000.0,10732700000000.0,1.581763007,10936400000000.0,148526037.0
Estados Unidos,USA,2003,2.861210767,5.988999844,39740.0,39770.0,11530300000000.0,11536400000000.0,1.857095203,11458200000000.0,149140813.0
Estados Unidos,USA,2004,3.798891127,5.528999805,42060.0,43510.0,12314000000000.0,12740500000000.0,2.692212124,12213700000000.0,150211571.0
Estados Unidos,USA,2005,3.513213797,5.083000183,44570.0,46190.0,13169700000000.0,13651400000000.0,3.114942343,13036600000000.0,152071960.0
Estados Unidos,USA,2006,2.854972292,4.623000145,47160.0,47880.0,14073000000000.0,14285600000000.0,3.026204651,13814600000000.0,153931108.0
Estados Unidos,USA,2007,1.876171458,4.622000217,48280.0,48500.0,14543200000000.0,14608300000000.0,2.686278862,14451900000000.0,155224880.0
Estados Unidos,USA,2008,-0.136579805,5.78399992,48290.0,48980.0,14684600000000.0,14894700000000.0,1.945131748,14712800000000.0,157006864.0
Estados Unidos,USA,2009,-2.536757066,9.25399971,46940.0,47730.0,14398700000000.0,14643700000000.0,0.762349987,14448900000000.0,157109264.0
Estados Unidos,USA,2010,2.563766559,9.633000374,48900.0,48990.0,15126700000000.0,15154200000000.0,1.165250545,14992100000000.0,156903447.0
Estados Unidos,USA,2011,1.550835506,8.949000359,50820.0,50570.0,15832200000000.0,15756900000000.0,2.088903777,15542600000000.0,156975333.0
Estados Unidos,USA,2012,2.249545852,8.069000244,53120.0,52770.0,16670700000000.0,16560500000000.0,1.917849007,16197000000000.0,158636184.0
Estados Unidos,USA,2013,1.842081071,7.375,54360.0,53950.0,17175900000000.0,17048900000000.0,1.754915748,16784800000000.0,158755710.0
Estados Unidos,USA,2014,2.451973035,6.168000221,56730.0,55850.0,18057500000000.0,17776500000000.0,1.891891294,17521700000000.0,159532062.0
Estados Unidos,USA,2015,2.880910466,5.28000021,58340.0,56740.0,18704300000000.0,18191400000000.0,1.069341659,18219300000000.0,160596354.0
Estados Unidos,USA,2016,1.56721517,4.868999958,58970.0,57180.0,19045200000000.0,18467300000000.0,1.093525424,18707200000000.0,162547573.0
Estados Unidos,USA,2017,2.21701033,4.355000019,61020.0,59060.0,19830300000000.0,19194800000000.0,1.900777538,19485400000000.0,164268059.0
Estados Unidos,USA,2018,2.927322728,3.895999908,63780.0,63170.0,20837300000000.0,20636300000000.0,2.435950607,20544300000000.0,165483017.0
Japón,JPN,2000,2.779632825,4.699999809,27220.0,36230.0,3452930000000.0,4595160000000.0,-1.383685532,4887520000000.0,67652881.0
Japón,JPN,2001,0.406335903,5.0,27890.0,36770.0,3546350000000.0,4675880000000.0,-1.104516896,4303540000000.0,67601019.0
Japón,JPN,2002,0.117992777,5.400000095,28560.0,34790.0,3639730000000.0,4434180000000.0,-1.458286043,4115120000000.0,67173003.0
Japón,JPN,2003,1.528220148,5.300000191,29380.0,35070.0,3752540000000.0,4479550000000.0,-1.616981143,4445660000000.0,67065336.0
Japón,JPN,2004,2.204687882,4.699999809,30920.0,38350.0,3950150000000.0,4899550000000.0,-1.100735877,4815150000000.0,66725257.0
Japón,JPN,2005,1.662670405,4.400000095,32350.0,40560.0,4133440000000.0,5182640000000.0,-1.037434652,4755410000000.0,66734012.0
Japón,JPN,2006,1.420006556,4.099999905,33960.0,39930.0,4341520000000.0,5105060000000.0,-0.883377798,4530380000000.0,66802058.0
Japón,JPN,2007,1.654183881,3.900000095,35540.0,38740.0,4548810000000.0,4959300000000.0,-0.729479771,4515260000000.0,67143470.0
Japón,JPN,2008,-1.0935406,4.0,35710.0,38850.0,4573200000000.0,4975180000000.0,-0.980895409,5037910000000.0,67100796.0
Japón,JPN,2009,-5.416412797,5.099999905,34010.0,38800.0,4354890000000.0,4967600000000.0,-0.611272559,5231380000000.0,66914282.0
Japón,JPN,2010,4.191739259,5.099999905,35890.0,43440.0,4596530000000.0,5562860000000.0,-1.895163535,5700100000000.0,66663144.0
Japón,JPN,2011,-0.11542134,4.520999908,36790.0,46880.0,4702730000000.0,5992370000000.0,-1.674325774,6157460000000.0,66043052.0
Japón,JPN,2012,1.495089586,4.300000191,38190.0,49480.0,4873840000000.0,6315110000000.0,-0.761554976,6203210000000.0,65639408.0
Japón,JPN,2013,2.000267841,4.0,40280.0,48280.0,5133800000000.0,6152740000000.0,-0.333177012,5155720000000.0,65970039.0
Japón,JPN,2014,0.374719476,3.599999905,40590.0,43950.0,5166030000000.0,5593500000000.0,1.745314197,4850410000000.0,66175617.0
Japón,JPN,2015,1.222921041,3.400000095,41950.0,38840.0,5333310000000.0,4937690000000.0,2.145396779,4389480000000.0,66363530.0
Japón,JPN,2016,0.609093181,3.099999905,41350.0,37880.0,5250730000000.0,4811000000000.0,0.267580429,4926670000000.0,66850743.0
Japón,JPN,2017,1.928757251,2.799999952,42290.0,38470.0,5362180000000.0,4877470000000.0,-0.220084775,4859950000000.0,67288388.0
Japón,JPN,2018,0.788455876,2.400000095,43010.0,41310.0,5441910000000.0,5226600000000.0,-0.08566228,4971320000000.0,68358370.0
Mundo,WLD,2000,4.383559656,5.77399843,7942.251914,5489.007619,48562000000000.0,33561900000000.0,4.493794716,33588600000000.0,2760410612.0
Mundo,WLD,2001,1.949645072,5.853954221,8224.350834,5464.886095,50939500000000.0,33848100000000.0,3.722532478,33396800000000.0,2797040580.0
Mundo,WLD,2002,2.176793305,6.113162801,8503.933238,5423.078198,53343600000000.0,34018000000000.0,3.463615639,34675000000000.0,2838912969.0
Mundo,WLD,2003,2.956952791,6.188533721,8863.303582,5824.505439,56299400000000.0,36997100000000.0,3.933545203,38903700000000.0,2883821977.0
Mundo,WLD,2004,4.401294922,6.015972362,9468.130636,6636.621611,60895900000000.0,42684500000000.0,5.599649283,43817500000000.0,2932247001.0
Mundo,WLD,2005,3.913302135,5.90129842,10074.38831,7354.154524,65603400000000.0,47889500000000.0,5.781251843,47457700000000.0,2978118240.0
Mundo,WLD,2006,4.37754215,5.594057523,10952.56835,7845.857253,72209400000000.0,51727100000000.0,5.510095283,51447900000000.0,3014743223.0
Mundo,WLD,2007,4.319068335,5.353513022,11690.16825,8362.794091,78025200000000.0,55816900000000.0,5.440702018,57968100000000.0,3054910370.0
Mundo,WLD,2008,1.850115248,5.352536124,12197.575,8952.928033,82421300000000.0,60496600000000.0,7.819765484,63610400000000.0,3090361014.0
Mundo,WLD,2009,-1.678389139,6.003151787,12161.70395,8982.860409,83184700000000.0,61441800000000.0,2.368457315,60334300000000.0,3123387038.0
Mundo,WLD,2010,4.299174973,5.922201988,12814.7618,9411.830465,88706900000000.0,65151000000000.0,4.229784999,66049200000000.0,3152655443.0
Mundo,WLD,2011,3.132456716,5.803589453,13509.82859,9901.43096,94613200000000.0,69342600000000.0,5.662656747,73391500000000.0,3183946265.0
Mundo,WLD,2012,2.507625725,5.774086013,14092.98702,10496.84895,99866400000000.0,74383300000000.0,3.576513521,75082700000000.0,3218194184.0
Mundo,WLD,2013,2.655491973,5.773223382,14575.53317,10874.58529,104509000000000.0,77972900000000.0,2.308000009,77236200000000.0,3250599724.0
Mundo,WLD,2014,2.835049655,5.632921821,14994.25056,10995.40241,108781000000000.0,79770000000000.0,1.9115038,79334400000000.0,3283330912.0
Mundo,WLD,2015,2.857257012,5.637490039,15122.01872,10657.50827,110991000000000.0,78222500000000.0,2.109379153,75051800000000.0,3319710285.0
Mundo,WLD,2016,2.585116468,5.669694379,15494.41588,10396.30653,115047000000000.0,77193300000000.0,1.813470021,76166500000000.0,3354403108.0
Mundo,WLD,2017,3.19656184,5.569701353,16145.10029,10449.85709,121249000000000.0,78477700000000.0,3.323538056,80963200000000.0,3391647862.0
Mundo,WLD,2018,3.058394604,5.391888968,16884.81956,11124.50355,128205000000000.0,84467100000000.0,2.753647074,85930800000000.0,3427481440.0
Unión Europea,EUU,2000,3.906816823,9.82330601,22012.94883,18453.78928,9450790000000.0,7922740000000.0,3.329704778,7258060000000.0,199217046.0
Unión Europea,EUU,2001,2.189414103,9.19577176,23059.88468,17769.46986,9913340000000.0,7639020000000.0,3.474752003,7385940000000.0,199487250.0
Unión Europea,EUU,2002,1.122726427,9.541026903,24006.00379,17442.49835,10343800000000.0,7515660000000.0,3.27434188,8047700000000.0,200144636.0
Unión Europea,EUU,2003,0.925509318,9.646565749,24521.62248,19711.49104,10603500000000.0,8523560000000.0,2.682816524,9909170000000.0,201933394.0
Unión Europea,EUU,2004,2.602436512,9.882084208,25728.18648,23980.55249,11167100000000.0,10408500000000.0,2.709268188,11396100000000.0,203395227.0
Unión Europea,EUU,2005,1.931168154,9.569838245,26735.43656,27595.18236,11645500000000.0,12020000000000.0,2.543104656,11902200000000.0,205365646.0
Unión Europea,EUU,2006,3.493368789,8.625277589,29062.62122,29595.79761,12700300000000.0,12933300000000.0,2.899073822,12699800000000.0,206996811.0
Unión Europea,EUU,2007,3.156143642,7.448055923,30845.39279,31657.20526,13524700000000.0,13880700000000.0,2.966345148,14707100000000.0,208540629.0
Unión Europea,EUU,2008,0.652745889,7.200041777,32254.8318,34387.96846,14188100000000.0,15126500000000.0,3.252863256,16234400000000.0,210215521.0
Unión Europea,EUU,2009,-4.326979506,9.116646463,31789.38798,34513.98129,14016500000000.0,15217800000000.0,1.67883896,14707400000000.0,210743587.0
Unión Europea,EUU,2010,2.205425256,9.795710982,32834.35359,34706.77318,14497400000000.0,15324200000000.0,0.940413625,14540100000000.0,211354253.0
Unión Europea,EUU,2011,1.833849094,9.836140727,34449.88193,35195.10875,15183700000000.0,15512100000000.0,1.650202753,15740300000000.0,210739030.0
Unión Europea,EUU,2012,-0.745618663,10.80260593,34979.57966,34505.20171,15439800000000.0,15230500000000.0,1.675270124,14634500000000.0,212039861.0
Unión Europea,EUU,2013,-0.060615965,11.32309836,36172.12357,34817.3062,16005100000000.0,15405600000000.0,1.279986994,15291300000000.0,212597037.0
Unión Europea,EUU,2014,1.584910826,10.84334541,37106.971,34789.15978,16459800000000.0,15431700000000.0,0.918221819,15631200000000.0,213265285.0
Unión Europea,EUU,2015,2.352355943,10.02373905,38104.83182,33408.39659,16939300000000.0,14851500000000.0,1.118745874,13545200000000.0,213640167.0
Unión Europea,EUU,2016,2.060907402,9.124778233,40524.53356,32192.6333,18053100000000.0,14341300000000.0,0.858465884,13882000000000.0,214618312.0
Unión Europea,EUU,2017,2.723967075,8.135618676,42793.87231,31803.79783,19091700000000.0,14188700000000.0,1.511910225,14701100000000.0,215671511.0
Unión Europea,EUU,2018,2.12651009,7.269401542,44417.77086,34469.53753,19845300000000.0,15400500000000.0,2.041247784,15912800000000.0,216488451.0
