Year,Dato,Console,Company,Sales
2011,anual,Nintendo 3DS,Nintendo,"12,560,000"
2012,anual,Nintendo 3DS,Nintendo,"13,480,000"
2013,anual,Nintendo 3DS,Nintendo,"14,310,000"
2014,anual,Nintendo 3DS,Nintendo,"9,740,000"
2015,anual,Nintendo 3DS,Nintendo,"7,330,000"
2016,anual,Nintendo 3DS,Nintendo,"7,590,000"
2017,anual,Nintendo 3DS,Nintendo,"6,190,000"
2018,anual,Nintendo 3DS,Nintendo,"3,500,000"
2008,anual,Nintendo DS,Nintendo,"29,470,000"
2009,anual,Nintendo DS,Nintendo,"27,280,000"
2010,anual,Nintendo DS,Nintendo,"20,550,000"
2011,anual,Nintendo DS,Nintendo,"8,760,000"
2012,anual,Nintendo DS,Nintendo,"3,010,000"
2013,anual,Nintendo DS,Nintendo,"820,000"
2014,Out_of_use,Nintendo DS,Nintendo,"-89,890,000"
2017,anual,Nintendo Switch,Nintendo,"11,850,000"
2018,anual,Nintendo Switch,Nintendo,"17,050,000"
2008,anual,Nintendo Wii,Nintendo,"24,090,000"
2009,anual,Nintendo Wii,Nintendo,"21,050,000"
2010,anual,Nintendo Wii,Nintendo,"17,260,000"
2011,anual,Nintendo Wii,Nintendo,"11,490,000"
2012,anual,Nintendo Wii,Nintendo,"5,080,000"
2013,anual,Nintendo Wii,Nintendo,"1,950,000"
2014,anual,Nintendo Wii,Nintendo,"520,000"
2015,anual,Nintendo Wii,Nintendo,"70,000"
2016,Out_of_use,Nintendo Wii,Nintendo,"-81,510,000"
2012,anual,Nintendo Wii U,Nintendo,"2,170,000"
2013,anual,Nintendo Wii U,Nintendo,"3,100,000"
2014,anual,Nintendo Wii U,Nintendo,"3,640,000"
2015,anual,Nintendo Wii U,Nintendo,"3,460,000"
2016,anual,Nintendo Wii U,Nintendo,"1,160,000"
2017,anual,Nintendo Wii U,Nintendo,"100,000"
2018,Out_of_use,Nintendo Wii U,Nintendo,"-13,630,000"
2011,anual,Sony PS Vita,Sony,"480,000"
2012,anual,Sony PS Vita,Sony,"3,690,000"
2013,anual,Sony PS Vita,Sony,"3,400,000"
2014,anual,Sony PS Vita,Sony,"2,300,000"
2015,anual,Sony PS Vita,Sony,"2,680,000"
2016,anual,Sony PS Vita,Sony,"2,040,000"
2017,anual,Sony PS Vita,Sony,"720,000"
2018,anual,Sony PS Vita,Sony,"220,000"
2018,Out_of_use,Sony PS Vita,Sony,"-15,530,000"
2008,anual,Sony PS3,Sony,"10,460,000"
2009,anual,Sony PS3,Sony,"13,260,000"
2010,anual,Sony PS3,Sony,"13,830,000"
2011,anual,Sony PS3,Sony,"14,420,000"
2012,anual,Sony PS3,Sony,"11,970,000"
2013,anual,Sony PS3,Sony,"8,260,000"
2014,anual,Sony PS3,Sony,"3,560,000"
2015,anual,Sony PS3,Sony,"1,340,000"
2016,anual,Sony PS3,Sony,"520,000"
2017,anual,Sony PS3,Sony,"110,000"
2018,Out_of_use,Sony PS3,Sony,"-77,730,000"
2013,anual,Sony PS4,Sony,"4,490,000"
2014,anual,Sony PS4,Sony,"14,590,000"
2015,anual,Sony PS4,Sony,"17,510,000"
2016,anual,Sony PS4,Sony,"17,590,000"
2017,anual,Sony PS4,Sony,"19,640,000"
2018,anual,Sony PS4,Sony,"18,000,000"
2008,anual,Sony PSP,Sony,"14,050,000"
2009,anual,Sony PSP,Sony,"9,920,000"
2010,anual,Sony PSP,Sony,"9,360,000"
2011,anual,Sony PSP,Sony,"7,380,000"
2012,anual,Sony PSP,Sony,"4,220,000"
2013,anual,Sony PSP,Sony,"2,970,000"
2014,anual,Sony PSP,Sony,"390,000"
2015,Out_of_use,Sony PSP,Sony,"-48,290,000"
2013,anual,Xbox One,Microsoft,"3,080,000"
2014,anual,Xbox One,Microsoft,"7,910,000"
2015,anual,Xbox One,Microsoft,"8,630,000"
2016,anual,Xbox One,Microsoft,"8,370,000"
2017,anual,Xbox One,Microsoft,"8,210,000"
2018,anual,Xbox One,Microsoft,"6,960,000"
2008,anual,Xbox360,Microsoft,"11,160,000"
2009,anual,Xbox360,Microsoft,"10,360,000"
2010,anual,Xbox360,Microsoft,"13,530,000"
2011,anual,Xbox360,Microsoft,"13,950,000"
2012,anual,Xbox360,Microsoft,"10,690,000"
2013,anual,Xbox360,Microsoft,"6,240,000"
2014,anual,Xbox360,Microsoft,"2,600,000"
2015,anual,Xbox360,Microsoft,"930,000"
2016,anual,Xbox360,Microsoft,"390,000"
2017,anual,Xbox360,Microsoft,"60,000"
2018,Out_of_use,Xbox360,Microsoft,"-69,910,000"
